language,kind,variant,pearson_r,n
fr,checkpoint,aad,0.3099566549231436,33
fr,checkpoint,discrepancy,0.2561275669882686,32
fr,checkpoint,dispersion,0.2507959264167048,33
fr,checkpoint,dispersion_shifted,0.31448439631322195,33
fr,checkpoint,dist_std,0.27361035652940896,33
fr,checkpoint,gini,0.3146877577868268,33
fr,checkpoint,iqr,0.23785430862026977,33
fr,checkpoint,mad,0.30610984791808815,33
fr,checkpoint,mpd,0.2902486035630552,33
fr,checkpoint,mpsd,0.11668580910959576,33
fr,checkpoint,projection,0.07468760623026212,33
fr,checkpoint,quartile_deviation,0.32228875613887903,33
fr,checkpoint,range,0.2507959264167048,33
fr,checkpoint,rel_dispersion,0.1466372996112333,33
fr,checkpoint,rel_mpd,0.19242595464571383,33
fr,checkpoint,rel_mpsd,0.02655836263355988,33
fr,checkpoint,rel_star_discrepancy,0.29464984958126306,32
fr,checkpoint,rel_std,0.18785621631741448,33
fr,checkpoint,rms_deviation,0.2843712668293123,33
fr,checkpoint,star_discrepancy,0.2694788898314979,32
fr,checkpoint,star_discrepancy_shifted,0.18880181736418228,32
fr,checkpoint,tukey,0.0024154847172570427,33
fr,size,aad,0.07260011543636267,33
fr,size,discrepancy,0.0556518966769051,32
fr,size,dispersion,-0.011422553306967407,33
fr,size,dispersion_shifted,0.1228626516558544,33
fr,size,dist_std,0.03603115320136487,33
fr,size,gini,0.13960193764192996,33
fr,size,iqr,0.14219668122792128,33
fr,size,mad,0.03844862880929396,33
fr,size,mpd,0.03501551317004792,33
fr,size,mpsd,-0.05453822095049616,33
fr,size,projection,0.10305550448282039,33
fr,size,quartile_deviation,0.1164006786243931,33
fr,size,range,-0.011422553306967407,33
fr,size,rel_dispersion,-0.020424880500038888,33
fr,size,rel_mpd,0.03986393684216131,33
fr,size,rel_mpsd,-0.06681874745564996,33
fr,size,rel_star_discrepancy,0.1747595534494154,32
fr,size,rel_std,0.03704241964252283,33
fr,size,rms_deviation,0.03513453623134338,33
fr,size,star_discrepancy,0.06324653178426252,32
fr,size,star_discrepancy_shifted,0.05096040241821238,32
fr,size,tukey,0.0441436827432247,33
he,checkpoint,aad,0.42116677677213016,33
he,checkpoint,discrepancy,0.14642001101484378,32
he,checkpoint,dispersion,0.37531190638657463,33
