L,task,trained,reference_size,k,observed,alpha_own,alpha_pooled,pred_transfer,err_transfer,pred_last,err_last,pred_own,err_own
2,bpb_bel_Cyrl,False,1.7B,3,0.92724,0.26688856931754806,0.16332255590354625,1.0470815956760167,0.12924549811916733,1.174894,0.26708726974677555,0.8607778615714249,-0.0716773849581285
2,bpb_bel_Cyrl,False,1.7B,4,0.92724,0.26688856931754806,0.16332255590354625,1.02153434837829,0.10169357273013457,1.034446,0.11561839437470345,0.8876436563333302,-0.04270344642883154
2,bpb_ben_Beng,False,1.7B,1,0.917422,0.2001346327348003,0.16332255590354625,0.9181560121822407,0.0008000812954570353,1.331015,0.4508208872252901,,
2,bpb_ben_Beng,False,1.7B,2,0.917422,0.2001346327348003,0.16332255590354625,0.852246279285779,-0.07104224742182001,1.024036,0.11621042442845277,,
2,bpb_ben_Beng,False,1.7B,3,0.917422,0.2001346327348003,0.16332255590354625,0.8400172105420055,-0.08437206591731444,0.967397,0.054473295822424134,0.7121265741486345,-0.2237742563960375
2,bpb_ben_Beng,False,1.7B,4,0.917422,0.2001346327348003,0.16332255590354625,0.8440092468591708,-0.08002070273094518,0.933602,0.01763637671649479,0.8028971884062117,-0.12483329546684976
2,bpb_bew_Latn,False,1.7B,1,1.731161,0.14036923363311993,0.163719672507774,1.6104696750807128,-0.06971698468212208,2.336744,0.34981321783473635,,
2,bpb_bew_Latn,False,1.7B,2,1.731161,0.14036923363311993,0.163719672507774,1.5897654357520534,-0.08167672691791608,2.032767,0.17422180837022105,,
2,bpb_bew_Latn,False,1.7B,3,1.731161,0.14036923363311993,0.163719672507774,1.6009196676995299,-0.0752335180266134,1.925274,0.11212879680168394,1.6126526707161533,-0.06845598374954535
2,bpb_bew_Latn,False,1.7B,4,1.731161,0.14036923363311993,0.163719672507774,1.6182841768281646,-0.06520296100237664,1.823222,0.05317876269162715,1.6703648362702732,-0.035118723059107
2,bpb_bod_Tibt,False,1.7B,1,0.945642,0.20928419565985587,0.16332255590354625,0.9009499210323577,-0.04726109771736267,1.306072,0.38114846844789035,,
2,bpb_bod_Tibt,False,1.7B,2,0.945642,0.20928419565985587,0.16332255590354625,0.9341687228229014,-0.012132791455009995,1.253867,0.32594258715243196,,
2,bpb_bod_Tibt,False,1.7B,3,0.945642,0.20928419565985587,0.16332255590354625,0.901261670198007,-0.046931428386210665,0.994426,0.05158823317915242,0.8301736340492555,-0.12210579262632636
2,bpb_bod_Tibt,False,1.7B,4,0.945642,0.20928419565985587,0.16332255590354625,0.8908318021547497,-0.057960832794281894,0.93814,-0.007933234775951162,0.8369858599920073,-0.11490198194241873
2,bpb_bos_Latn,False,1.7B,1,1.855932,0.17848008971787865,0.16332255590354625,1.9100223587196423,0.029144580038300116,2.768885,0.49191080276648075,,
2,bpb_bos_Latn,False,1.7B,2,1.855932,0.17848008971787865,0.16332255590354625,1.8686295333984846,0.0068415940877600435,2.366516,0.2751092173635672,,
2,bpb_bos_Latn,False,1.7B,3,1.855932,0.17848008971787865,0.16332255590354625,1.8628702267625628,0.0037384056972792315,2.194683,0.18252338986557698,1.7823784508716158,-0.03963159702423585
2,bpb_bos_Latn,False,1.7B,4,1.855932,0.17848008971787865,0.16332255590354625,1.860223132437575,0.002312117274541941,2.019993,0.08839817407103279,1.8223643597413703,-0.018086675728760306
2,bpb_bul_Cyrl,False,1.7B,1,0.836442,0.2385002120730394,0.16332255590354625,0.9686374681594526,0.15804499075782014,1.404196,0.6787727062964317,,
2,bpb_bul_Cyrl,False,1.7B,2,0.836442,0.2385002120730394,0.16332255590354625,0.9253776515152078,0.10632614277524056,1.144401,0.3681773512090497,,
2,bpb_bul_Cyrl,False,1.7B,3,0.836442,0.2385002120730394,0.16332255590354625,0.9047283474920815,0.08163907060152588,1.025149,0.22560679640668457,0.7762159909049007,-0.07200261236893812
2,bpb_bul_Cyrl,False,1.7B,4,0.836442,0.2385002120730394,0.16332255590354625,0.8900334154036181,0.0640706891854045,0.924077,0.10477116165854897,0.8037417993139507,-0.03909440306207637
2,bpb_cat_Latn,False,1.7B,1,1.650776,0.18471333566864945,0.16332255590354625,1.733818409757547,0.0503050745573882,2.513449,0.5225863472694054,,
2,bpb_cat_Latn,False,1.7B,2,1.650776,0.18471333566864945,0.16332255590354625,1.685873099171457,0.021260970096159005,2.122011,0.2854627157167296,,
2,bpb_cat_Latn,False,1.7B,3,1.650776,0.18471333566864945,0.16332255590354625,1.6778322020281917,0.016389989936970068,1.97,0.19337814458169972,1.5806322782449655,-0.04249136270156246
2,bpb_cat_Latn,False,1.7B,4,1.650776,0.18471333566864945,0.16332255590354625,1.6738391963073478,0.013971124069739181,1.81237,0.0978897197439265,1.6259668437826496,-0.015028784170202663
2,bpb_ces_Latn,False,1.7B,1,1.637558,0.21589565175547995,0.16332255590354625,1.8061939493255907,0.10298013830691229,2.618369,0.5989473349951573,,
2,bpb_ces_Latn,False,1.7B,2,1.637558,0.21589565175547995,0.16332255590354625,1.7218766183136471,0.05149046220875661,2.124913,0.29761083271554334,,
2,bpb_ces_Latn,False,1.7B,3,1.637558,0.21589565175547995,0.16332255590354625,1.6968853622360718,0.03622916698893823,1.953547,0.1929635469400167,1.4956343692235599,-0.08666784979612338
2,bpb_ces_Latn,False,1.7B,4,1.637558,0.21589565175547995,0.16332255590354625,1.6821064775009635,0.027204213530735075,1.786874,0.09118211385489858,1.5663213012641741,-0.04350178664561862
2,bpb_ckb_Arab,False,1.7B,1,1.82451,0.12982336973784286,0.163719672507774,1.5571074601643697,-0.14656129033857326,2.259317,0.23831439674213883,,
2,bpb_ckb_Arab,False,1.7B,2,1.82451,0.12982336973784286,0.163719672507774,1.6253111351414706,-0.10917937685106108,2.197498,0.20443187485955125,,
2,bpb_ckb_Arab,False,1.7B,3,1.82451,0.12982336973784286,0.163719672507774,1.6110156759476575,-0.11701460888257262,1.877052,0.028797869016886652,1.6602193132164724,-0.09004647098866415
2,bpb_ckb_Arab,False,1.7B,4,1.82451,0.12982336973784286,0.163719672507774,1.6319365996469355,-0.10554801034418258,1.850303,0.014136946358200259,1.7087273340956484,-0.06345959512655547
2,bpb_cmn_Hani,False,1.7B,1,1.531079,0.18425490317380028,0.16332255590354625,1.5279447664344037,-0.0020470750141543246,2.215002,0.4466934756469131,,
2,bpb_cmn_Hani,False,1.7B,2,1.531079,0.18425490317380028,0.16332255590354625,1.4802007484871242,-0.033230324178488396,1.856244,0.2123763698672635,,
2,bpb_cmn_Hani,False,1.7B,3,1.531079,0.18425490317380028,0.16332255590354625,1.4686538375219989,-0.040772006198244,1.713908,0.11941186574957915,1.3601903094390664,-0.1116132417471167
2,bpb_cmn_Hani,False,1.7B,4,1.531079,0.18425490317380028,0.16332255590354625,1.4690384393481175,-0.04052080960674306,1.603289,0.047162817855904156,1.4279111672750457,-0.06738243599772077
2,bpb_cym_Latn,False,1.7B,1,2.315877,0.11991891535258907,0.163719672507774,2.1074990749321003,-0.0899779759753647,3.057919,0.3204151170377356,,
2,bpb_cym_Latn,False,1.7B,2,2.315877,0.11991891535258907,0.163719672507774,2.102665066458068,-0.09206530983378307,2.717358,0.17336024322535262,,
2,bpb_cym_Latn,False,1.7B,3,2.315877,0.11991891535258907,0.163719672507774,2.1336063911948244,-0.0787047882098987,2.60527,0.12496043615442444,2.2473253513196743,-0.029600729520749897
2,bpb_cym_Latn,False,1.7B,4,2.315877,0.11991891535258907,0.163719672507774,2.16547349308609,-0.06494451428720516,2.469435,0.06630663027440571,2.2980390958751276,-0.007702440209420624
2,bpb_dan_Latn,False,1.7B,1,1.675644,0.17971989995750715,0.16332255590354625,1.7401212624551559,0.038479093682880106,2.522586,0.5054426835294371,,
2,bpb_dan_Latn,False,1.7B,2,1.675644,0.17971989995750715,0.16332255590354625,1.699317198245003,0.014127820852760573,2.148181,0.28200321786727983,,
2,bpb_dan_Latn,False,1.7B,3,1.675644,0.17971989995750715,0.16332255590354625,1.6960603220959756,0.012184164474062306,2.002836,0.19526343304425042,1.625585807456339,-0.029874002200742492
2,bpb_dan_Latn,False,1.7B,4,1.675644,0.17971989995750715,0.16332255590354625,1.692173129344701,0.009864344302668818,1.832706,0.09373232023031147,1.6549487604528934,-0.012350618357542835
2,bpb_dclm,True,1.7B,1,0.811226,0.14291535296138985,0.163719672507774,0.7530042789828113,-0.07177003821029984,1.092587,0.3468342977172822,,
2,bpb_dclm,True,1.7B,2,0.811226,0.14291535296138985,0.163719672507774,0.7415242448886754,-0.08592150043431127,0.945861,0.1659648482666975,,
2,bpb_dclm,True,1.7B,3,0.811226,0.14291535296138985,0.163719672507774,0.7451811326321017,-0.0814136472054622,0.892452,0.10012746139793352,0.7421025772539804,-0.08520858890866363
2,bpb_dclm,True,1.7B,4,0.811226,0.14291535296138985,0.163719672507774,0.7535127944554413,-0.071143190115404,0.849779,0.047524364357158115,0.7750811502414814,-0.04455583247888827
2,bpb_deu_Latn,False,1.7B,1,1.173891,0.22117287859137605,0.16332255590354625,1.299265102203339,0.10680216664352908,1.883494,0.604487980570598,,
2,bpb_deu_Latn,False,1.7B,2,1.173891,0.22117287859137605,0.16332255590354625,1.2419270437256877,0.05795771815755272,1.536724,0.30908576690680817,,
2,bpb_deu_Latn,False,1.7B,3,1.173891,0.22117287859137605,0.16332255590354625,1.2212061595316128,0.04030626312972227,1.399733,0.19238753853637167,1.071656048401211,-0.08709066821262709
2,bpb_deu_Latn,False,1.7B,4,1.173891,0.22117287859137605,0.16332255590354625,1.2080905837233713,0.029133525790189452,1.275465,0.0865276247965101,1.1169092133108423,-0.0485409520041961
2,bpb_div_Thaa,False,1.7B,1,1.497151,0.19598542959651244,0.16332255590354625,1.5973292619730253,0.06691259730850488,2.315586,0.5466616259816146,,
2,bpb_div_Thaa,False,1.7B,2,1.497151,0.19598542959651244,0.16332255590354625,1.464232410657708,-0.021987487796683074,1.737509,0.1605435924632853,,
