task,L,family,kind,n_rungs,gated_rungs,gated,slope,r2,rho,n_options
bpb_kor_Hang,50,bpb,bpb,4,0,False,-0.47756297417846666,0.9583956210701886,-1.0,
bpb_lit_Latn,50,bpb,bpb,4,0,False,-0.7432325035749363,0.9587437708407998,-1.0,
bpb_lvs_Latn,50,bpb,bpb,4,0,False,-0.7484628325109663,0.9658746174119188,-1.0,
bpb_mal_Mlym,50,bpb,bpb,4,0,False,-0.22927962994124435,0.9807765766564656,-1.0,
bpb_mar_Deva,50,bpb,bpb,4,0,False,-0.2843051430212004,0.9754502064315305,-1.0,
bpb_nld_Latn,15,bpb,bpb,4,0,False,-0.5129973221625247,0.9553483050328867,-1.0,
bpb_nld_Latn,30,bpb,bpb,5,0,False,-0.45141427440480936,0.9492539106778239,-0.9999999999999999,
bpb_nld_Latn,50,bpb,bpb,4,0,False,-0.5259445727784107,0.9539058144033141,-1.0,
bpb_nob_Latn,30,bpb,bpb,5,0,False,-0.5249069073204069,0.9545225963603748,-0.9999999999999999,
bpb_nob_Latn,50,bpb,bpb,4,0,False,-0.6069683778893065,0.9573569939912557,-1.0,
bpb_npi_Deva,50,bpb,bpb,4,0,False,-0.2757574199434301,0.9687313660468644,-1.0,
bpb_pol_Latn,15,bpb,bpb,4,0,False,-0.5661352635895581,0.9473983222146842,-1.0,
bpb_pol_Latn,30,bpb,bpb,5,0,False,-0.49067154198091917,0.9405540148711127,-0.9999999999999999,
bpb_pol_Latn,50,bpb,bpb,4,0,False,-0.5727434290218276,0.946392249152501,-1.0,
bpb_por_Latn,15,bpb,bpb,4,0,False,-0.3827977439941012,0.9541725478878665,-1.0,
bpb_por_Latn,30,bpb,bpb,5,0,False,-0.3362750169039756,0.9478095347599045,-0.9999999999999999,
bpb_por_Latn,50,bpb,bpb,4,0,False,-0.39104828230988803,0.9525193286584371,-1.0,
bpb_ron_Latn,30,bpb,bpb,5,0,False,-0.4881510122297495,0.9408973827488809,-0.9999999999999999,
bpb_ron_Latn,50,bpb,bpb,4,0,False,-0.5739943379821681,0.9490374751142197,-1.0,
bpb_rus_Cyrl,2,bpb,bpb,5,0,False,-0.2060379462440469,0.9289183402803736,-0.9999999999999999,
bpb_rus_Cyrl,8,bpb,bpb,5,0,False,-0.2268751027177716,0.9403720010599588,-0.9999999999999999,
bpb_rus_Cyrl,15,bpb,bpb,4,0,False,-0.25610637818602067,0.9548933406585908,-1.0,
bpb_rus_Cyrl,30,bpb,bpb,5,0,False,-0.22530337712769039,0.946695637246816,-0.9999999999999999,
bpb_rus_Cyrl,50,bpb,bpb,4,0,False,-0.26179064184174916,0.9508000912036213,-1.0,
bpb_slk_Latn,50,bpb,bpb,4,0,False,-0.6644188813513336,0.9502788753389242,-1.0,
bpb_slv_Latn,50,bpb,bpb,4,0,False,-0.9082817030715115,0.9783199531549851,-1.0,
bpb_spa_Latn,8,bpb,bpb,5,0,False,-0.3065513680071739,0.9396102061745183,-0.9999999999999999,
bpb_spa_Latn,15,bpb,bpb,4,0,False,-0.3457618780087992,0.9542471400266532,-1.0,
bpb_spa_Latn,30,bpb,bpb,5,0,False,-0.3030211955999273,0.9471808722272079,-0.9999999999999999,
bpb_spa_Latn,50,bpb,bpb,4,0,False,-0.35357943158655175,0.952542900830441,-1.0,
bpb_srp_Cyrl,50,bpb,bpb,4,0,False,-0.4799913948717141,0.9633003509764092,-1.0,
bpb_swe_Latn,30,bpb,bpb,5,0,False,-0.49284714882819014,0.9517727134920849,-0.9999999999999999,
bpb_swe_Latn,50,bpb,bpb,4,0,False,-0.5681682296405001,0.9546070911728843,-1.0,
bpb_tam_Taml,50,bpb,bpb,4,0,False,-0.20921479326099796,0.9758985454456378,-1.0,
bpb_tha_Thai,30,bpb,bpb,5,0,False,-0.22267161491846157,0.9538859131236963,-0.9999999999999999,
bpb_tha_Thai,50,bpb,bpb,4,0,False,-0.2567893497298046,0.9565020068296856,-1.0,
bpb_tur_Latn,30,bpb,bpb,5,0,False,-0.47893140896929476,0.9611212197403213,-0.9999999999999999,
bpb_tur_Latn,50,bpb,bpb,4,0,False,-0.5468801344346391,0.9613825415011655,-1.0,
bpb_ukr_Cyrl,30,bpb,bpb,5,0,False,-0.298969168879495,0.9342336390023057,-0.9999999999999999,
bpb_ukr_Cyrl,50,bpb,bpb,4,0,False,-0.3544668653965259,0.9435388624567173,-1.0,
bpb_urd_Arab,50,bpb,bpb,4,0,False,-0.42982126055047915,0.9714939398065003,-1.0,
bpb_vie_Latn,15,bpb,bpb,4,0,False,-0.39170848607421216,0.9605985748343183,-1.0,
bpb_vie_Latn,30,bpb,bpb,5,0,False,-0.34748098439780556,0.9555936055652581,-0.9999999999999999,
bpb_vie_Latn,50,bpb,bpb,4,0,False,-0.39655649302795287,0.959549949148831,-1.0,
bpb_zsm_Latn,50,bpb,bpb,4,0,False,-0.5171608923297932,0.9585385952635225,-1.0,
global_mmlu_full_ar,15,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_ar,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_ar,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_bn,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_bn,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_cs,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_cs,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_de,8,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_de,15,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_de,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_de,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_el,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_el,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_en,1,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_en,2,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_en,8,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_en,15,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_en,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_en,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_es,8,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_es,15,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_es,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_es,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_fa,15,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_fa,30,global_mmlu_full,benchmark,0,5,True,,,,4.0
global_mmlu_full_fa,50,global_mmlu_full,benchmark,0,5,True,,,,4.0
